Tmax_b,Tmin_b,Rhmin,Rhmax,Tmax,Tmin,Heatwave
35.6,27.2,74.08514404,91.8653717,28.25454102,25.07451782,1
34.7,25.2,52.6268158,94.47970581,30.51708374,23.81902466,0
31.5,24.4,49.86235428,90.41892242,30.89434204,24.38768921,1
31.4,25.5,34.27819061,86.31101227,33.08898315,23.29680786,1
31.4,24.8,37.77906036,85.66702271,31.72545776,22.67809448,1
31.9,24.1,65.68193054,86.37158203,27.24730835,24.02901611,1
32.6,21.3,31.68767548,91.34009552,33.17003784,21.27883301,1
34.5,20.9,34.82291412,86.19833374,32.5382019,23.1765686,1
34.3,24.9,57.16022873,88.79351044,29.04293213,23.79329834,0
32.2,24.9,59.86117554,84.7870636,28.24633179,23.95565186,0
29.8,25.4,61.74144745,94.33560944,27.67263184,22.37233887,0
30.2,23.8,35.93097305,94.068573,30.2100769,23.37420044,0
33.1,22,46.31629562,86.20753479,30.4031311,22.76964722,1
31.8,24.3,63.72895813,87.61076355,24.41848145,20.42415772,0
25.5,20.4,59.82020187,91.10583496,23.70031128,19.41115723,0
26.1,20.2,40.22657776,92.79111481,28.48848877,21.43581543,0
30.2,22.5,37.09437561,82.8928833,29.29815064,20.00713501,0
30.6,19.9,35.89448929,88.91778564,30.08516846,20.54677734,0
28.4,23.5,56.5527153,94.55479431,27.88323364,21.88204346,0
27.4,22.1,68.86431122,95.11914063,24.50270996,20.79946289,0
26.9,21.1,69.61856842,94.08529663,25.4505249,20.86422119,0
29.4,21.6,45.08333588,88.5194397,32.42321167,23.08455811,1
35.2,22.6,45.37650681,86.12257385,32.60784302,24.0956665,1
34.6,24.9,46.09646988,83.82661438,32.76213989,23.5876709,1
34,24.2,49.29046631,88.88431549,32.27633057,24.70467529,1
37.5,25.5,67.89583588,90.14791107,27.63601074,23.4548584,0
31.3,23.5,55.1657486,87.5716095,29.07131348,23.48378906,0
30.6,24.6,47.39541245,86.35237122,30.64772949,23.72741089,1
33.3,24.6,55.02973557,76.04393005,27.82402954,23.612146,0
30.2,25.1,80.13937378,93.19760895,23.92922363,20.48162231,0
24.3,21.1,56.40740585,90.48935699,28.15813599,20.77816162,0
28.9,21.5,46.33308792,91.42205048,31.84655151,21.9132019,1
34.2,21.9,46.52675629,83.50999451,32.39055786,23.88909302,1
36,25.2,49.7309227,78.65390015,32.08904419,24.85973511,1
34.1,25.8,51.94501114,77.67199707,32.26018677,24.5836731,1
31.1,28,67.87491608,93.94390869,29.64516602,26.51201782,1
33.1,27,53.2077179,92.13256836,32.02633057,26.07714233,1
32.5,25.9,81.57855988,94.26502991,27.97057495,25.58370361,0
30.8,27,63.10725021,94.73838043,29.6352478,24.68407593,0
34,27.1,69.64183807,91.9286499,30.61876831,26.19790039,1
32.9,26.7,75.19687653,90.97315979,26.89934692,24.51564941,1
32,23.8,55.15103149,92.23087311,32.78893433,24.46425781,1
35.1,25.2,44.43410492,86.85255432,34.67397461,26.27764282,1
37.2,26.8,41.93729019,83.1539917,34.9744812,26.80489502,1
37.1,27.7,50.7221756,85.77149963,34.54332886,26.62062988,1
36,27.6,54.6803627,88.06635284,33.29699097,27.6921936,1
36.2,28.2,44.36134338,87.07826233,35.26644287,26.26513062,1
36.7,27.4,59.05945587,83.31185913,31.98165283,26.70339356,1
35.9,27.7,53.79813766,90.64807129,33.89043579,25.90291748,1
37.6,26.8,43.83286285,87.49429321,35.11263428,27.28447876,1
36.1,27.9,45.13275146,88.10495758,35.37694702,27.66991577,1
31.9,28.5,46.18385315,90.85485077,34.3810669,26.2505127,1
35.2,27.7,47.01443863,85.1503067,32.90892944,25.6138855,1
36.7,27.1,33.43455505,85.45300293,34.01915894,25.5855957,1
36.1,27.2,55.73996353,78.7469101,31.74880371,26.8734375,1
34.1,28.5,57.1132431,84.02085876,31.70818481,26.56786499,1
37.5,28.4,44.22291946,79.53762054,34.25475464,26.11690674,1
35.4,27.4,41.52307129,80.85699463,32.81569824,24.4555603,1
