T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
11.674,24.002,14.381,16.638,-7.0962,52.687,13.793,2.4249,2.7526,0.76926,547,Dwa
12.002,23.609,14.9,16.787,-6.3825,52.728,13.807,2.4245,2.7545,0.76985,511,Dwa
13.404,26.091,16.256,18.287,-5.6212,52.769,13.822,2.4241,2.7564,0.77045,544,Dwa
13.06,25.036,15.958,18.022,-5.4913,52.81,13.836,2.4238,2.7582,0.77105,441,Dwa
13.41,26.608,16.245,18.34,-5.7938,52.851,13.851,2.4234,2.7601,0.77166,365,Dwa
11.674,24.002,14.381,16.638,-7.0962,52.691,13.79,2.4278,2.7513,0.77233,504,Dwa
12.002,23.609,14.9,16.787,-6.3825,52.732,13.804,2.4274,2.7532,0.77292,537,Dwa
13.06,25.036,15.958,18.022,-5.4913,52.773,13.819,2.427,2.755,0.77352,575,Dwa
12.778,24.696,15.589,17.744,-5.5862,52.815,13.834,2.4266,2.7569,0.77413,407,Dwa
13.339,25.919,16.06,18.424,-5.3025,52.856,13.849,2.4263,2.7588,0.77473,414,Dwa
15.588,27.479,18.906,18.356,-0.8275,36.591,8.9167,1.3343,2.2252,0.66515,25,Dwa
15.21,26.512,18.636,17.454,-0.81125,36.592,8.9177,1.3349,2.2258,0.66536,16,Dwa
15.082,25.333,18.664,17.28,-0.14125,36.593,8.9186,1.3356,2.2264,0.66556,18,Dwa
14.83,25.385,18.188,17.181,-0.74625,36.594,8.9195,1.3362,2.2269,0.66576,24,Dwa
13.224,23.932,16.925,14.472,-1.365,36.595,8.9204,1.3369,2.2275,0.66597,36,Dwa
15.588,27.479,18.906,18.356,-0.8275,36.467,8.8825,1.3261,2.2209,0.66599,66,Dwa
15.21,26.512,18.636,17.454,-0.81125,36.466,8.8831,1.3267,2.2213,0.66616,29,Dwa
14.83,25.385,18.188,17.181,-0.74625,36.465,8.8837,1.3273,2.2217,0.66633,25,Dwa
15.135,26.101,18.487,17.739,-0.6,36.464,8.8844,1.3279,2.2221,0.6665,56,Dwa
15.298,26.759,18.575,18.084,-0.85375,36.343,8.8483,1.318,2.2166,0.66683,87,Dwa
15.509,27.133,18.901,18.244,-0.56625,36.34,8.8486,1.3185,2.2168,0.66696,68,Dwa
14.83,25.385,18.188,17.181,-0.74625,36.337,8.8489,1.319,2.2171,0.6671,36,Dwa
15.135,26.101,18.487,17.739,-0.6,36.335,8.8492,1.3195,2.2173,0.66724,37,Dwa
13.592,24.218,17.309,15.078,-1.2487,36.332,8.8495,1.3201,2.2176,0.66737,5,Dwa
15.161,25.987,18.362,18.092,-0.70625,36.219,8.8141,1.3098,2.2123,0.66767,95,Dwa
15.467,26.858,18.866,18.267,-0.61125,36.214,8.8141,1.3103,2.2123,0.66777,89,Dwa
15.135,26.101,18.487,17.739,-0.6,36.21,8.8141,1.3107,2.2124,0.66787,43,Dwa
15.192,26.549,18.539,17.72,-0.61125,36.205,8.814,1.3112,2.2125,0.66797,19,Dwa
14.124,24.6,17.779,15.788,-0.935,36.201,8.8141,1.3117,2.2126,0.66807,3,Dwa
15.298,26.088,18.495,18.201,-0.395,36.094,8.7799,1.3016,2.2079,0.66851,94,Dwa
15.469,26.92,18.759,18.242,-0.5,36.088,8.7796,1.302,2.2079,0.66858,73,Dwa
15.192,26.549,18.539,17.72,-0.61125,36.082,8.7793,1.3024,2.2078,0.66864,43,Dwa
15.231,26.607,18.62,17.449,-0.31125,36.076,8.7789,1.3028,2.2077,0.6687,11,Dwa
14.432,24.931,17.981,16.026,-0.72,36.069,8.7786,1.3032,2.2076,0.66877,6,Dwa
14.686,26.898,16.966,15.453,-0.6675,62.87,17.042,2.4618,3.7952,1.1516,77,Dwa
14.308,25.188,16.661,15.565,-0.20125,62.954,17.049,2.4745,3.7866,1.1542,74,Dwa
14.686,26.898,16.966,15.453,-0.6675,62.863,17.016,2.4658,3.7944,1.1546,120,Dwa
14.481,26.254,16.502,16.098,-0.95125,63.038,17.056,2.4871,3.7782,1.1567,76,Dwa
14.308,25.188,16.661,15.565,-0.20125,62.947,17.023,2.4785,3.7858,1.1571,77,Dwa
15.437,28.348,17.442,17.001,-1.2862,62.857,16.99,2.4698,3.7936,1.1575,122,Dwa
14.922,26.244,16.959,17.771,-0.91375,63.122,17.063,2.4998,3.7696,1.1592,83,Dwa
14.481,26.254,16.502,16.098,-0.95125,63.031,17.031,2.4911,3.7772,1.1597,78,Dwa
14.155,25.956,16.284,15.306,-1.0113,62.94,16.998,2.4824,3.785,1.1601,85,Dwa
15.78,28.819,17.585,17.958,-1.5362,62.85,16.965,2.4737,3.7927,1.1604,85,Dwa
15.889,27.479,17.876,19.549,-0.82,63.206,17.07,2.5125,3.761,1.1618,77,Dwa
15.252,27.305,17.115,17.844,-1.3313,63.114,17.038,2.5038,3.7687,1.1622,79,Dwa
15.21,27.422,17.011,17.395,-1.0788,63.023,17.005,2.4951,3.7764,1.1626,79,Dwa
15.485,27.418,17.402,17.834,-0.535,62.933,16.972,2.4864,3.7841,1.163,97,Dwa
16.552,29.831,18.287,19.251,-1.445,62.843,16.939,2.4777,3.7919,1.1634,88,Dwa
